Position0	AvgQ_T	TCount	MultiMapFrac	STAR_TC_Cov	STAR_TC_MM	STAR_TC_Rate	STAR_TC_Std	STAR_TC_Std_Smooth	STAR_TA_Cov	STAR_TA_MM	STAR_TA_Rate	GEDI_TC_Cov	GEDI_TC_MM	GEDI_TC_Rate	GEDI_TC_Std	GEDI_TA_Cov	GEDI_TA_MM	GEDI_TA_Rate	STAR_TC_TA_Ratio	GEDI_TC_TA_Ratio
0	39.325049550236315	26236	0.1893037665090494	18247.9	1252.07	6.861447070621825	25.279739934564944	24.027453689879106	18247.9	1069.52	5.861057984754409	18152.0	2208.0	12.163948876156898	32.68689699793988	18152.0	1862.0	10.257822829440281	1.170684045179146	1.1858216970998927
1	39.487900399884566	24257	0.1893037665090494	16979.3	1044.5	6.151608134610967	24.027453689879106	22.529021908230078	16979.3	703.217	4.14161361186857	15782.0	1883.0	11.931314155366874	32.41566223390522	15782.0	1271.0	8.053478646559372	1.4853167656640835	1.4815106215578284
2	39.573731746433694	23694	0.1893037665090494	16771.0	777.833	4.637964343211496	21.03059012658105	21.03059012658105	16771.0	500.516	2.984413571045257	15259.0	1308.0	8.571990300806082	27.99499977430781	15259.0	924.0	6.05544268956026	1.5540622078015487	1.4155844155844155
3	39.5810144492561	23323	0.1893037665090494	16467.1	527.383	3.202646489060005	17.607035649765468	17.607035649765468	16467.1	330.873	2.009297326183724	14684.0	982.0	6.68755107600109	24.980627858522407	14684.0	615.0	4.1882320893489515	1.5939136768488213	1.5967479674796747
4	39.630756123535676	23475	0.1893037665090494	16193.5	410.506	2.535004785870874	15.71859501745303	15.71859501745303	16193.5	228.706	1.4123321085620775	14698.0	721.0	4.905429310110219	21.598140991634754	14698.0	435.0	2.9595863382773167	1.7949069985046302	1.657471264367816
5	39.63974144942426	23361	0.1893037665090494	16223.1	328.693	2.0260800956660563	14.08910958906032	14.08910958906032	16223.1	158.932	0.9796647989595083	14695.0	604.0	4.110241578768289	19.852709438285576	14695.0	272.0	1.8509697175910174	2.0681360581884074	2.2205882352941178
6	39.653151446254896	23751	0.1893037665090494	16345.6	293.34	1.7946113938919341	13.275560603383447	13.275560603383447	16345.6	93.0278	0.5691305305403288	15009.0	480.0	3.198081151309214	17.594896762429784	15009.0	171.0	1.1393164101539077	3.1532509636904242	2.8070175438596485
7	39.66300736067298	23775	0.1893037665090494	16587.1	231.458	1.3954096858402012	11.730038379846993	12.201735188612549	16587.1	52.45	0.31620958455667364	15261.0	390.0	2.555533713387065	15.780450525205186	15261.0	105.0	0.6880283074503637	4.412926596758817	3.714285714285714
8	39.6511230570488	23997	0.1893037665090494	16779.4	253.65	1.5116750300964277	12.201735188612549	11.730038379846993	16779.4	20.0333	0.11939223094985518	15742.0	406.0	2.579087790623809	15.851090979192445	15742.0	38.0	0.24139245330961756	12.66141873780156	10.684210526315791
9	39.68303151698483	24463	0.18928614133684085	16728.6	226.617	1.3546680535131452	11.559916946765034	11.559916946765034	16728.6	12.6	0.07532011046949535	16035.0	365.0	2.2762706579357657	14.914612220416501	16035.0	19.0	0.11849080137199876	17.98547619047619	19.210526315789473
10	39.69733225545675	24740	0.1892970117291533	17087.7	188.094	1.100756684632806	10.433791409862323	10.433791409862323	17087.7	4.16667	0.02438403061851507	16672.0	316.0	1.8953934740882916	13.636232287080352	16672.0	5.0	0.02999040307101727	45.14252388598089	63.2
11	39.73307698469919	24966	0.18929231438199803	17172.1	142.31	0.8287279948288212	9.06564997082223	9.06564997082223	17172.1	1.41667	0.008249835488961747	16684.0	227.0	1.360584991608727	11.584787768512713	16684.0	2.0	0.011987532965715655	100.45388128498521	113.5
12	39.7036039315617	27470	0.1893037665090494	18865.7	127.25	0.6745045240833895	8.185077645039781	8.185077645039781	18865.7	3.0	0.015901874831042582	19638.0	191.0	0.972604134840615	9.8139928001274	19638.0	3.0	0.015276504735716468	42.416666666666664	63.66666666666666
13	39.67765080069529	27039	0.18931405587563865	18772.0	115.643	0.6160398465800128	7.824607310621215	7.903673573360143	18772.0	3.0	0.015981248668229277	19730.0	200.0	1.0136847440446022	10.017031378814355	19730.0	2.0	0.01013684744044602	38.547666666666665	100.00000000000001
14	39.673842237280525	26711	0.18929495401874036	18482.3	97.4917	0.5274868387592453	7.24364835637818	7.903673573360143	18482.3	5.0	0.02705291008153747	19288.0	192.0	0.9954375777685608	9.927379402723679	19288.0	6.0	0.031107424305267525	19.49834	32.0
15	39.69827036356133	26653	0.1893037665090494	18338.7	115.283	0.6286323458042282	7.903673573360143	7.903673573360143	18338.7	1.5	0.008179423841384613	19011.0	219.0	1.1519646520435538	10.670962592231199	19011.0	2.0	0.010520225132817843	76.85533333333333	109.5
16	39.701663627228406	26869	0.18930788212146576	18153.2	119.7	0.6593878765176387	8.093453853582254	7.962158770841675	18153.2	4.5	0.024789017914196944	18893.0	197.0	1.0427142327846293	10.157960932549962	18893.0	3.0	0.015878896945958818	26.6	65.66666666666669
17	39.721506701011684	26787	0.18930788212146576	18139.1	115.733	0.6380305527837655	7.962158770841675	7.962158770841675	18139.1	2.5	0.013782381705817819	18744.0	218.0	1.1630388390951771	10.721530887344114	18744.0	1.0	0.0053350405463081525	46.293200000000006	217.99999999999997
18	39.69675090252708	27146	0.18930993999478216	18203.5	129.2	0.7097536188095696	8.39473714189692	8.093453853582254	18203.5	1.66667	0.009155766748152827	19140.0	219.0	1.1442006269592475	10.635359308513785	19140.0	1.0	0.00522466039707419	77.51984496031008	218.99999999999997
19	39.6978788672328	26731	0.18930993999478216	17998.0	100.6	0.5589509945549506	7.455378812721798	8.150328200922614	17998.0	4.0	0.022224691632403603	18769.0	184.0	0.9803399222121584	9.85255935572747	18769.0	1.0	0.005327934359848687	25.15	184.0
20	39.707679846844854	27162	0.1892855589859547	18117.8	121.5	0.6706112221130601	8.161580900786443	8.150328200922614	18117.8	1.5	0.008279150890284694	19116.0	213.0	1.1142498430634025	10.4968295972438	19116.0	4.0	0.02092487968194183	80.99999999999999	53.25
21	39.68812046848856	26895	0.18933052118892826	17769.4	118.833	0.6687507738021542	8.150328200922614	7.924003717511259	17769.4	1.0	0.005627652031019618	18783.0	202.0	1.075440557951339	10.314430832646424	18783.0	1.0	0.0053239631581749455	118.833	202.00000000000003
22	39.71900578208305	26634	0.18932846286813867	18186.2	114.917	0.6318912142173736	7.924003717511259	7.924003717511259	18186.2	3.5	0.01924536186778986	18930.0	193.0	1.0195456946645536	10.04565060326838	18930.0	1.0	0.005282620179609086	32.83342857142858	192.99999999999997
23	39.72515319085338	26764	0.1893073009522981	17824.1	110.667	0.6208840839088651	7.855120071980768	7.924003717511259	17824.1	4.0	0.0224415257993391	18798.0	202.0	1.0745824023832322	10.310359494159819	18798.0	2.0	0.010639429726566656	27.666750000000004	100.99999999999999
24	39.708177883897925	26804	0.18930582429288867	17812.4	105.5	0.5922840268576945	7.673174200896178	7.924003717511259	17812.4	3.0	0.016842199815858615	18632.0	198.0	1.0626878488621725	10.253754406172304	18632.0	1.0	0.0053671103477887505	35.166666666666664	197.99999999999997
25	39.715334757034206	26691	0.1893299411809474	17843.4	138.4	0.7756369301814676	8.77280344990616	8.376488175247172	17843.4	1.33333	0.00747239875808422	18732.0	248.0	1.323937646807602	11.429827373505068	18732.0	1.0	0.005338458253256459	103.80025950064876	248.00000000000003
26	39.72290788681517	26576	0.18930318512881836	17629.6	136.7	0.7754004628579207	8.771476523823786	8.771476523823786	17629.6	2.75	0.015598765712211284	18514.0	241.0	1.3017176190990603	11.334782448288678	18514.0	2.0	0.010802635843145727	49.7090909090909	120.50000000000001
27	39.73584766130523	27045	0.18930318512881836	17807.0	125.833	0.7066490705902173	8.376488175247172	8.771476523823786	17807.0	1.0	0.005615769079575448	18766.0	232.0	1.2362783757859959	11.049862141952882	18766.0	2.0	0.010657572205051688	125.83299999999998	116.0
28	39.69564403161167	26699	0.1893093589311533	17260.1	151.767	0.8792938627238545	9.335750027467617	8.771476523823786	17260.1	5.0	0.028968545952804448	18469.0	253.0	1.36986301369863	11.6236731153953	18469.0	5.0	0.027072391575071738	30.353399999999997	50.6
29	39.708834234035514	27201	0.18929848782980205	17626.1	125.76	0.7134873851844709	8.416630814621117	8.811377509243465	17626.1	2.5	0.01418351195102717	18870.0	209.0	1.1075781664016957	10.46571006886202	18870.0	6.0	0.03179650238473768	50.30400000000001	34.833333333333336
30	39.719653072522604	27095	0.18930260368538349	17549.3	151.738	0.8646384756087138	9.2583069654969	9.2583069654969	17549.3	1.0	0.005698232977953537	18671.0	242.0	1.296127684644636	11.310739210571578	18671.0	4.0	0.021423598093299773	151.738	60.499999999999986
31	39.71680892731774	27063	0.1893202300325046	17557.6	137.393	0.7825272246776326	8.811377509243465	8.811377509243465	17557.6	2.25	0.012814963320727207	18814.0	240.0	1.275645795684065	11.222179261282546	18814.0	5.0	0.026575954076751358	61.06355555555556	47.99999999999999
32	39.72778044901431	27037	0.1893243463608197	17692.6	153.55	0.8678769655110047	9.275477676315969	9.021186193275923	17692.6	2.0	0.011304161061686809	18793.0	262.0	1.394136114510722	11.72475995256573	18793.0	3.0	0.015963390624168572	76.77499999999999	87.33333333333334
33	39.720595826266496	27122	0.18931405587563865	17480.5	133.283	0.7624667486627956	8.698581454666222	8.811377509243465	17480.5	5.5	0.03146363090300621	18861.0	220.0	1.1664280791050314	10.736957364485457	18861.0	8.0	0.04241556651291024	24.233272727272723	27.499999999999996
34	39.71634740561652	26885	0.18931199791283929	17508.6	143.667	0.8205510434872008	9.021186193275923	8.973795213430053	17508.6	4.5	0.025701655186594022	18408.0	239.0	1.2983485441112559	11.320297940828668	18408.0	4.0	0.0217296827466319	31.926000000000002	59.75
35	39.67990010650409	27229	0.18930788212146576	17491.5	103.546	0.5919789612097305	7.671209619770411	8.698581454666222	17491.5	12.1429	0.06942171912071578	18577.0	186.0	1.0012380901114282	9.955969631233957	18577.0	13.0	0.06997900629811056	8.527287550749822	14.30769230769231
36	39.682355079047795	27515	0.18930788212146576	17826.0	144.726	0.811881521373275	8.973795213430053	8.76164768703987	17826.0	8.0	0.044878267698866825	18813.0	233.0	1.2385052888959762	11.05968505604813	18813.0	10.0	0.053154733429011856	18.09075	23.3
37	39.69190794357832	26940	0.1893037665090494	17275.5	116.583	0.6748458800034731	8.187134482747286	8.76164768703987	17275.5	7.0	0.04051981129345026	18713.0	204.0	1.0901512317640143	10.383963283269296	18713.0	16.0	0.08550205739325603	16.654714285714288	12.749999999999998
38	39.70826192658722	25091	0.18930112728419085	16683.9	129.075	0.7736500458525882	8.76164768703987	8.973795213430053	16683.9	20.25	0.12137449876827361	18622.0	190.0	1.0202985715819999	10.049320772222753	18622.0	24.0	0.1288798195682526	6.3740740740740724	7.916666666666668
39	39.71456739490496	25358	0.18930788212146576	16601.5	151.101	0.910164744149625	9.496740206695641	9.496740206695641	16601.5	21.0	0.1264945938620004	18869.0	215.0	1.1394350522020245	10.613443973659814	18869.0	22.0	0.11659335417881181	7.195285714285715	9.772727272727272
40	39.69051459912889	24796	0.18930582429288867	16162.2	163.867	1.0138904357080099	10.018037220692525	10.018037220692525	16162.2	30.75	0.1902587519025875	18906.0	248.0	1.3117528826827463	11.37781141709811	18906.0	28.0	0.1481011319157939	5.3290081300813	8.857142857142858
41	39.67741935483871	24459	0.1893037665090494	16173.4	211.105	1.305260489445633	11.349993127718424	11.349993127718424	16173.4	68.1167	0.42116499931987084	18726.0	221.0	1.180177293602478	10.799301408698291	18726.0	45.0	0.24030759371996155	3.0991665773591506	4.911111111111111
42	39.67741136654423	24229	0.1893037665090494	16343.9	284.219	1.7389913056247284	13.071917984803703	13.071917984803703	16343.9	118.283	0.7237134343700097	18870.0	254.0	1.3460519342872284	11.523599160805812	18870.0	68.0	0.36036036036036034	2.402872771235088	3.735294117647059
43	39.627723098463946	24283	0.1893037665090494	16337.6	332.483	2.035078591714817	14.119713676170129	14.119713676170129	16337.6	140.157	0.857879982371952	18854.0	254.0	1.3471942293412538	11.528420995199431	18854.0	77.0	0.40840140023337224	2.3722182980514703	3.2987012987012982
44	39.64697532668142	23953	0.1893037665090494	16537.7	441.91	2.6721369960756336	16.126790861227388	16.126790861227388	16537.7	263.767	1.5949436741505771	18804.0	246.0	1.3082322910019146	11.362735470518151	18804.0	122.0	0.6487981280578601	1.6753801650699294	2.016393442622951
45	39.6326801727001	24088	0.1893037665090494	16707.1	553.39	3.3123043496477544	17.895783717403383	17.895783717403383	16707.1	302.589	1.8111401739380264	18923.0	288.0	1.52195740633092	12.242523689436197	18923.0	153.0	0.8085398721133014	1.828850354771654	1.8823529411764703
46	39.60127183383573	24217	0.1893037665090494	16987.0	700.635	4.124536410196032	19.885719509752985	19.885719509752985	16987.0	458.26	2.6977100135397656	18682.0	269.0	1.4398886628840595	11.912832867412517	18682.0	177.0	0.9474360346857937	1.5289028062671846	1.5197740112994351
47	39.59138381201044	24512	0.1893037665090494	16855.6	809.661	4.8035133724103565	21.38405004956055	21.38405004956055	16855.6	637.345	3.7812062459953966	18716.0	252.0	1.3464415473391749	11.525244027503991	18716.0	240.0	1.2823252831801668	1.2703653437306326	1.0499999999999998
48	39.514242278764605	24996	0.1893037665090494	16522.8	904.216	5.472534921441887	22.744336738577093	22.064193394068823	16522.8	764.719	4.62826518507759	18707.0	282.0	1.5074571016197147	12.184961356062962	18707.0	252.0	1.3470893248516598	1.18241602470973	1.1190476190476193
49	39.359040405982086	26011	0.1893037665090494	15762.5	994.543	6.309551149881047	24.31346703526956	22.744336738577093	15762.5	1178.86	7.47888977002379	18597.0	274.0	1.4733559176211215	12.04843616832172	18597.0	358.0	1.925041673388181	0.8436481007074632	0.76536312849162
