Position	AvgQ_T	TCount	MultiMapFrac	STAR_TC_Cov	STAR_TC_MM	STAR_TC_Rate	STAR_TC_Std	STAR_TA_Cov	STAR_TA_MM	STAR_TA_Rate	GEDI_TC_Cov	GEDI_TC_MM	GEDI_TC_Rate	GEDI_TC_Std	GEDI_TA_Cov	GEDI_TA_MM	GEDI_TA_Rate	STAR_TC_TA_Ratio	GEDI_TC_TA_Ratio
0	39.20604353952175	494677	0.25603057129605356	219629.0	16452.7	7.491132773905086	26.32482112292947	219629.0	14406.5	6.559470743845303	196313.0	23828.0	12.137759598192682	32.65655756131913	196313.0	21680.0	11.04358855501164	1.1420331100544894	1.0990774907749077
1	39.46322355125894	457725	0.25603057129605356	221866.0	13845.7	6.240568631516321	24.18909188677753	221866.0	10827.7	4.8802881018272295	175234.0	19536.0	11.148521405663285	31.473204651477676	175234.0	16205.0	9.247634591460562	1.2787295547530868	1.205553841406973
2	39.50143212473839	456315	0.25603057129605356	234240.0	9130.16	3.8977800546448087	19.354206677363294	234240.0	7332.31	3.130255293715847	182403.0	13043.0	7.150649934485727	25.76690122934871	182403.0	10604.0	5.813500874437373	1.2451955795649665	1.2300075443228968
3	39.52601186715502	452678	0.25603057129605356	229561.0	6077.39	2.6473965525503025	16.054000957660836	229561.0	5148.53	2.242772073653626	177796.0	8730.0	4.910121712524466	21.607935487238077	177796.0	7791.0	4.3819883461945155	1.1804126614781305	1.1205236811705814
4	39.59248085612581	442178	0.25603057129605356	228309.0	3860.32	1.69083128566986	12.892797141442427	228309.0	3343.66	1.4645327166252753	176797.0	5693.0	3.2200772637544754	17.65329512558205	176797.0	5381.0	3.0436036810579363	1.1545192992110445	1.0579817877717896
5	39.630448561278115	427567	0.25603057129605356	226388.0	2479.19	1.095106631093521	10.407276520583427	226388.0	2162.53	0.955231726063219	171705.0	3893.0	2.267260708773769	14.885751568390077	171705.0	3497.0	2.0366325966046417	1.146430338538656	1.1132399199313696
6	39.68045549457446	438205	0.25603057129605356	230481.0	1608.82	0.6980271692677487	8.325591570437437	230481.0	1437.05	0.62350041868961	178538.0	2503.0	1.4019424436254468	11.7570745403483	178538.0	2428.0	1.3599345797533298	1.119529591872238	1.0308896210873149
7	39.693570648928514	457169	0.25603057129605356	238567.0	1152.15	0.48294609061605337	6.932630967761375	238567.0	929.362	0.38956016548810185	191389.0	1794.0	0.9373579463814535	9.636241732049944	191389.0	1615.0	0.843831150170595	1.2397214433127244	1.1108359133126935
8	39.70922310019809	459390	0.2560313973869927	239675.0	743.892	0.3103752998852613	5.562481205518565	239675.0	502.65	0.20972149786168767	193166.0	996.0	0.515618690659847	7.162123039422523	193166.0	801.0	0.41466924821138296	1.4799403163234859	1.2434456928838953
9	39.72274636469251	469974	0.25603057129605356	246612.0	393.543	0.1595798257992312	3.991555694102364	246612.0	160.65	0.06514281543477204	199389.0	513.0	0.2572860087567519	5.065807416925085	199389.0	283.0	0.14193360716990405	2.4496918767507	1.8127208480565373
10	39.73289268426046	497448	0.2560306745571294	253119.0	288.869	0.11412379157629417	3.376293073449884	253119.0	110.974	0.04384261947937531	213138.0	411.0	0.1928328125439856	4.387037355756722	213138.0	120.0	0.056301551107733015	2.603033142898337	3.4250000000000003
11	39.72527430096186	492069	0.2560309843408568	253141.0	213.326	0.0842716114734476	2.9017338683698113	253141.0	32.5	0.012838694640536302	216068.0	297.0	0.13745672658607477	3.7049667079372948	216068.0	18.0	0.008330710702186349	6.563876923076922	16.500000000000004
12	39.72990174839795	528541	0.256027890247488	271597.0	227.543	0.0837796441050527	2.8932586095506396	271597.0	11.8333	0.0043569332503672715	245547.0	292.0	0.11891817045209267	3.446400370523656	245547.0	4.0	0.0016290160335903105	19.22904008180305	73.0
13	39.73223251231527	507500	0.2560179043822419	266152.0	212.333	0.07977884817698158	2.8233880627858636	266152.0	34.0	0.012774655084312725	238444.0	272.0	0.11407290600728053	3.3755411377797055	238444.0	5.0	0.0020969284192514804	6.2450882352941175	54.4
14	39.733640424697235	474126	0.2559904391751812	269339.0	186.587	0.06927589394777585	2.631119580196864	269339.0	31.4	0.01165817055829271	232076.0	253.0	0.10901601199607025	3.299957076801985	232076.0	13.0	0.00560161326462021	5.942261146496815	19.461538461538463
15	39.76271534702736	467211	0.2559293687495361	266805.0	188.042	0.07047918892074737	2.653855982528783	266805.0	103.5	0.03879237645471412	231081.0	217.0	0.0939064656981751	3.062977007017452	231081.0	23.0	0.009953219866626855	1.8168309178743962	9.43478260869565
16	39.77150103236245	485779	0.2558389953833498	271509.0	213.143	0.07850310671101142	2.8007406044362377	271509.0	134.45	0.049519537105583974	240249.0	240.0	0.09989635752906359	3.159059428161931	240249.0	14.0	0.005827287522528709	1.5852956489401264	17.142857142857142
17	39.77640192978036	531874	0.2557119821284165	272333.0	213.119	0.07825676653214998	2.796346282509899	272333.0	66.25	0.024326835161364944	246902.0	246.0	0.09963467286615742	3.154923171580981	246902.0	18.0	0.007290341917035909	3.2168905660377365	13.666666666666666
18	39.79519787415773	611146	0.2555127624988041	260728.0	195.605	0.0750226289466417	2.737998265121822	260728.0	78.45	0.03008882820410543	239148.0	270.0	0.11290079783230467	3.3581740861782756	239148.0	29.0	0.012126381989395687	2.493371574251115	9.310344827586206
19	39.79489556419006	608412	0.25507840223361233	258944.0	201.11	0.0776654411764706	2.785769587904557	258944.0	55.0667	0.0212658721576866	240794.0	287.0	0.11918901633761639	3.450318189985688	240794.0	42.0	0.01744229507379752	3.6521164333435645	6.833333333333333
20	39.79329886505653	589721	0.2544560560754844	254162.0	215.635	0.08484155774663403	2.91152154117783	254162.0	62.95	0.0247676678653772	239107.0	280.0	0.11710238512465132	3.42001835431672	239107.0	40.0	0.016728912160664473	3.42549642573471	7.0
21	39.784247446041384	586051	0.253384003247282	252215.0	279.254	0.11072061534801658	3.3256281331710276	252215.0	85.5651	0.033925460420672834	234704.0	269.0	0.11461244801963325	3.3835053995408773	234704.0	66.0	0.028120526279910015	3.2636437052022385	4.075757575757576
22	39.7871588346929	582782	0.2516259186242105	250819.0	296.177	0.11808395695700885	3.434305151673372	250819.0	87.0861	0.03472069500316962	231565.0	306.0	0.13214432232850387	3.6327634262262007	231565.0	77.0	0.03325200267743398	3.4009675482080377	3.9740259740259742
23	39.780487596426184	585033	0.24884461773702804	241560.0	288.66	0.11949826130154	3.454785998538825	241560.0	168.479	0.06974623282000332	227507.0	272.0	0.11955676089087368	3.455630516998693	227507.0	145.0	0.06373430268079663	1.713329257652289	1.8758620689655172
24	39.80564152298613	604234	0.24452299005829745	237234.0	264.204	0.11136852221856901	3.335333457709402	237234.0	248.304	0.10466627886390652	229348.0	263.0	0.11467289882623785	3.384396550184179	229348.0	147.0	0.0640947381272128	1.0640344094335976	1.7891156462585034
25	39.75922110399316	622214	0.2388780739440995	232600.0	347.557	0.1494226139294927	3.862633075428696	232600.0	373.106	0.1604067067927773	227789.0	340.0	0.14926093885130537	3.8605459532640927	227789.0	155.0	0.06804542800574215	0.9315234812626975	2.1935483870967745
26	39.75048806327165	600332	0.2328410048535922	233813.0	417.355	0.17849948463088022	4.221147521358918	233813.0	363.939	0.1556538772437803	226056.0	292.0	0.12917153271755671	3.591722147785247	226056.0	178.0	0.07874155076618182	1.1467718491285626	1.6404494382022474
27	39.72940924755938	565533	0.22761950410256748	227712.0	377.543	0.16579846472737492	4.068458841113124	227712.0	369.64	0.1623278527262507	221471.0	297.0	0.13410333632845836	3.6595559741629056	221471.0	185.0	0.08353238121469628	1.0213802618764203	1.6054054054054057
28	39.738869509090776	551548	0.2235560296505663	226693.0	439.545	0.19389438579929685	4.399073032706458	226693.0	432.273	0.19068652318333607	225617.0	336.0	0.14892494803139836	3.856204891210227	225617.0	221.0	0.09795361165160427	1.0168227023200616	1.5203619909502264
29	39.733784037558685	532500	0.2201730409234535	230791.0	449.221	0.19464407190921656	4.407552708271593	230791.0	564.262	0.24449046973235522	228813.0	331.0	0.14465961287164628	3.8006624269419733	228813.0	257.0	0.11231879307556827	0.7961213053510604	1.2879377431906613
30	39.737645075123275	517749	0.21825601245919315	226216.0	456.519	0.20180668034091312	4.487754683342338	226216.0	624.575	0.276096739399512	227224.0	271.0	0.11926557053832341	3.4514247460311966	227224.0	290.0	0.12762736330669294	0.7309274306528438	0.9344827586206897
31	39.7303767282771	498184	0.21802164312853217	225603.0	475.251	0.21065810295075862	4.584913680620066	225603.0	914.384	0.4053066670212719	226752.0	288.0	0.12701100762066045	3.561596406951415	226752.0	328.0	0.14465142534575218	0.5197499081348754	0.8780487804878049
32	39.71782992140189	487798	0.21851941576349238	225346.0	409.168	0.18157322517373284	4.257270684519988	225346.0	724.687	0.3215885793402146	226700.0	265.0	0.11689457432730481	3.4169859659096224	226700.0	366.0	0.16144684605205117	0.5646134124111513	0.7240437158469946
33	39.697615908928334	489285	0.21845060309436473	228144.0	440.976	0.1932884494003787	4.392207248681039	228144.0	909.635	0.3987109018865278	229327.0	313.0	0.13648632738404112	3.691883560032917	229327.0	468.0	0.20407540324514778	0.4847834571009251	0.6688034188034188
34	39.670162886218996	467934	0.2178664836858697	229630.0	462.165	0.20126507860471193	4.481740758746029	229630.0	892.391	0.38862126028828986	227029.0	325.0	0.14315351783252359	3.7808542491855635	227029.0	498.0	0.21935523655568231	0.5178951827169929	0.6526104417670682
35	39.69269124378949	450446	0.21692570071774228	227620.0	651.771	0.2863417098673227	5.3434239408756	227620.0	968.725	0.4255887004656884	226639.0	357.0	0.15751922661148346	3.9657420937822048	226639.0	664.0	0.2929769368908264	0.6728132338899068	0.5376506024096386
36	39.69542758241244	448931	0.21600962152891182	218243.0	399.277	0.1829506559202357	4.273358708267061	218243.0	1112.83	0.5099040977259294	221393.0	305.0	0.13776406661457227	3.7091006623448552	221393.0	814.0	0.36767196794839946	0.358794245302517	0.37469287469287466
37	39.69578180536381	408516	0.21519621510747128	206419.0	458.511	0.22212635464758573	4.707790920095066	206419.0	1413.79	0.6849127260571943	218373.0	279.0	0.12776304762951465	3.5721116117237828	218373.0	935.0	0.4281664857834989	0.3243133704439839	0.2983957219251337
38	39.68369165491533	397827	0.21493147880393568	196797.0	502.583	0.255381433660066	5.047070802886395	196797.0	1825.21	0.9274582437740413	219213.0	388.0	0.17699680219695	4.2033739248022	219213.0	1427.0	0.6509650431315661	0.27535626037551847	0.27189908899789766
39	39.675901313964545	371319	0.2147462295656702	195802.0	593.015	0.30286462855333446	5.494973691666294	195802.0	2781.66	1.4206494315686253	217664.0	345.0	0.1585011761246692	3.9780642264340096	217664.0	2048.0	0.9408997353719494	0.21318744922096877	0.16845703125
40	39.6658797108569	356225	0.21487197793282492	187214.0	1370.8	0.7322101979552811	8.52554326841043	187214.0	4416.96	2.3593107353082567	209332.0	387.0	0.18487378900502552	4.2957188668069834	209332.0	2750.0	1.313702635048631	0.31034919944939504	0.14072727272727273
41	39.642470909352106	348050	0.21499448587934045	186676.0	2094.28	1.1218796203046992	10.532300230624596	186676.0	7060.84	3.7824037369560095	207695.0	295.0	0.14203519584005392	3.766078276821669	207695.0	3732.0	1.7968655961867162	0.29660493652313324	0.07904608788853161
42	39.61015039464327	341701	0.21504628655032315	186207.0	2912.96	1.5643665383148861	12.40924700234826	186207.0	11767.4	6.319526118781786	203628.0	356.0	0.1748286090321567	4.177594506492887	203628.0	4758.0	2.3366138252106783	0.24754491221510275	0.0748213535098781
43	39.59051807345205	331536	0.21507630631620617	191767.0	4223.96	2.2026521768604606	14.676973157767167	191767.0	17024.2	8.877544102999996	199245.0	289.0	0.14504755451830662	3.8057478448734514	199245.0	6260.0	3.1418605234761228	0.24811503624252526	0.04616613418530351
44	39.550197573906445	333293	0.2150454948949546	193135.0	6050.6	3.132834545784037	17.420355974753953	193135.0	20176.7	10.446941258705051	191813.0	387.0	0.20175900486411247	4.4872256228506595	191813.0	7558.0	3.940296017475354	0.29988055529397767	0.05120402222810267
45	39.48292611127465	326112	0.21509995955452096	188132.0	6780.59	3.604166223715264	18.639383257054305	188132.0	23733.1	12.615131928645843	183859.0	466.0	0.25345509330519583	5.028048313828859	183859.0	8791.0	4.781381384648018	0.28570182572019676	0.05300875895802526
46	39.43345771512037	338206	0.21553309512676253	182881.0	8107.68	4.433309091704442	20.583407873038297	182881.0	28475.8	15.570671638934607	176494.0	371.0	0.21020544607748703	4.579995445214773	176494.0	10169.0	5.761668951919045	0.28472176374324865	0.036483430032451566
47	39.392273376159885	336240	0.2164767710888781	183309.0	9248.53	5.045322379152142	21.88782675382919	183309.0	35573.3	19.406193913010274	169367.0	390.0	0.2302691787656391	4.7931090100136995	169367.0	11731.0	6.926378810512084	0.2599851574073814	0.03324524763447276
48	39.254969158924105	348399	0.21631787309773726	180028.0	10134.4	5.62934654609283	23.04875510897011	180028.0	43197.7	23.99498966827382	161286.0	417.0	0.2585469290576987	5.078173529059902	161286.0	13771.0	8.538248825068512	0.2346050831410006	0.030281025343112333
49	39.310210990785535	141191	0.2460369699961604	101896.0	4240.27	4.161370416895658	19.970479161576257	101896.0	4192.06	4.114057470361938	137565.0	393.0	0.2856831316105114	5.337293163145936	137565.0	0.0	0.0	1.0115003124955273	0
